Index,Is Reference,Name,Brightest Detector,ra,dec,t90,Binsize,Distance,Sigma
215,0,GRB150805445,n2,95.76,-64.33,45.825,1.0,5423.0,34.966
217,0,GRB190407575,n0,90.53,-64.14,58.88,1.0,8872.0,63.506
237,0,GRB090717034,n2,92.41,-62.48,65.537,1.0,12237.0,91.352
261,0,GRB211124104,n7,94.97,-61.43,0.512,0.1,222512.0,1170.15
289,0,GRB130701060,na,97.79,-60.13,20.224,1.0,2738.0,12.747
126,1,GRB131204937,n9,309.67,-69.67,29.952,1.0,0.0,
162,0,GRB100719311,n1,304.87,-67.14,1.6,0.1,189844.0,1097.379
181,0,GRB120919816,n7,303.53,-66.16,20.48,1.0,9040.0,66.159
187,0,GRB160303971,n6,302.2,-65.68,27.136,1.0,2260.0,8.936
190,0,GRB101023951,n5,317.97,-65.39,76.801,1.0,65074.0,539.085
203,0,GRB150826557,n9,317.97,-64.94,33.024,1.0,15657.0,122.006
222,0,GRB110818860,nb,317.34,-63.98,67.073,1.0,9642.0,71.24
232,0,GRB150403913,n3,311.5,-62.71,22.272,1.0,25357.0,203.874
251,0,GRB141013803,na,315.06,-61.89,82.432,1.0,4545.0,28.221
127,1,GRB130327350,n1,218.09,-69.51,31.233,1.0,0.0,
131,0,GRB150902733,n3,214.93,-69.36,13.568,1.0,30123.0,193.735
141,0,GRB171024977,n6,210.53,-68.91,35.072,1.0,22804.0,144.084
152,0,GRB191220589,n4,211.77,-67.51,27.905,1.0,10273.0,59.075
194,0,GRB170210116,n2,226.05,-65.1,76.545,1.0,27485.0,175.839
201,0,GRB110411629,n8,210.3,-64.99,23.552,1.0,12451.0,73.85
211,0,GRB091017985,n0,214.4,-64.74,44.8,1.0,20421.0,127.918
236,0,GRB141016897,n6,221.45,-62.49,17.405,1.0,8458.0,46.762
250,0,GRB170912273,n9,215.46,-62.0,13.568,1.0,9605.0,54.543
252,0,GRB170727841,n9,218.85,-61.84,19.2,1.0,17278.0,106.596
128,1,GRB090725838,n8,281.88,-69.49,13.76,1.0,0.0,
149,0,GRB100605774,n6,273.43,-67.6,8.192,1.0,3311.0,19.726
179,0,GRB220124074,n0,274.51,-66.17,53.76,1.0,2885.0,16.302
193,0,GRB201217108,n4,273.28,-65.13,37.121,1.0,2689.0,14.726
200,0,GRB180528371,n7,284.67,-65.02,16.896,1.0,5706.0,38.98
241,0,GRB111003465,n3,276.76,-62.32,16.64,1.0,10002.0,73.515
245,0,GRB110929187,n9,288.19,-62.21,5.12,1.0,1616.0,6.1
253,0,GRB210119121,n0,282.8,-61.8,0.048,0.1,233356.0,694.438
277,0,GRB161106786,n1,284.53,-60.65,12.544,1.0,1361.0,4.05
129,1,GRB140322424,n8,250.3,-69.45,10.496,1.0,0.0,
192,0,GRB161105417,n1,249.25,-65.22,41.473,1.0,8318.0,60.098
199,0,GRB090602564,na,248.94,-65.02,20.736,1.0,3292.0,19.676
270,0,GRB210621447,na,248.31,-61.07,15.616,1.0,3128.0,18.357
278,0,GRB161110179,n1,254.91,-60.62,1.792,0.1,243825.0,510.768
130,1,GRB210520797,n0,123.0,-69.4,56.065,1.0,0.0,
139,0,GRB130420422,na,117.06,-69.03,27.328,1.0,2285.0,2.895
140,0,GRB081226044,n2,120.5,-69.0,0.832,0.1,203339.0,1908.384
158,0,GRB180723133,n0,130.03,-67.15,3.072,1.0,5089.0,20.499
171,0,GRB111107035,n8,129.48,-66.52,12.032,1.0,2506.0,4.282
269,0,GRB120304061,n7,127.15,-61.12,9.984,1.0,8720.0,43.296
131,1,GRB150902733,n3,214.93,-69.36,13.568,1.0,0.0,
141,0,GRB171024977,n6,210.53,-68.91,35.072,1.0,42953.0,239.63
152,0,GRB191220589,n4,211.77,-67.51,27.905,1.0,23815.0,129.793
201,0,GRB110411629,n8,210.3,-64.99,23.552,1.0,29727.0,163.723
211,0,GRB091017985,n0,214.4,-64.74,44.8,1.0,42775.0,238.609
236,0,GRB141016897,n6,221.45,-62.49,17.405,1.0,36677.0,203.611
250,0,GRB170912273,n9,215.46,-62.0,13.568,1.0,23196.0,126.24
252,0,GRB170727841,n9,218.85,-61.84,19.2,1.0,36352.0,201.746
262,0,GRB140115863,n4,210.03,-61.41,14.909,1.0,32490.0,179.581
132,1,GRB200223814,n1,248.39,-55.79,65.281,1.0,0.0,
145,0,GRB211104765,n1,247.68,-52.34,39.681,1.0,3224.0,5.263
192,0,GRB161105417,n1,249.25,-65.22,41.473,1.0,10745.0,43.721
199,0,GRB090602564,na,248.94,-65.02,20.736,1.0,3188.0,5.079
270,0,GRB210621447,na,248.31,-61.07,15.616,1.0,8071.0,30.048
278,0,GRB161110179,n1,254.91,-60.62,1.792,0.1,259406.0,2128.842
337,0,GRB110801335,na,248.27,-57.06,0.384,0.1,239948.0,2186.8
348,0,GRB100825287,na,253.44,-56.57,3.328,1.0,6683.0,22.95
376,0,GRB130228212,na,240.75,-55.21,15.677,1.0,8758.0,33.561
406,0,GRB180728728,n6,253.57,-54.03,6.4,1.0,63356.0,312.746
414,0,GRB150913161,n6,241.05,-53.79,20.992,1.0,5525.0,17.029
452,0,GRB160909061,n9,242.68,-51.16,18.432,1.0,3155.0,4.91
500,0,GRB100424729,n8,246.72,-48.85,175.363,1.0,6719.0,23.135
503,0,GRB150301045,n4,244.29,-48.7,0.416,0.1,243096.0,2177.423
507,0,GRB200207058,n4,244.09,-48.3,15.616,1.0,4414.0,11.348
508,0,GRB130919985,n5,242.22,-48.29,17.408,1.0,27280.0,128.272
528,0,GRB120801920,n4,245.73,-47.37,479.239,1.0,271670.0,1377.951
133,1,GRB170625692,n6,106.7,-69.35,22.784,1.0,0.0,
134,0,GRB180804931,n8,109.36,-69.32,18.432,1.0,14061.0,101.861
168,0,GRB181208188,n0,104.11,-66.66,62.465,1.0,64046.0,490.629
188,0,GRB120426090,na,111.54,-65.63,2.688,1.0,26205.0,196.313
205,0,GRB190804058,n4,108.02,-64.86,4.224,1.0,1860.0,6.965
288,0,GRB140716436,n4,108.17,-60.18,168.253,1.0,8089.0,55.412
134,1,GRB180804931,n8,109.36,-69.32,18.432,1.0,0.0,
139,0,GRB130420422,na,117.06,-69.03,27.328,1.0,3977.0,22.72
168,0,GRB181208188,n0,104.11,-66.66,62.465,1.0,20306.0,149.164
188,0,GRB120426090,na,111.54,-65.63,2.688,1.0,15368.0,110.927
205,0,GRB190804058,n4,108.02,-64.86,4.224,1.0,7823.0,52.502
240,0,GRB191031780,n6,115.86,-62.34,77.825,1.0,6008.0,38.447
247,0,GRB160528276,n2,114.5,-62.11,7.168,1.0,8168.0,55.173
288,0,GRB140716436,n4,108.17,-60.18,168.253,1.0,26314.0,195.687
135,1,GRB140110411,n0,50.64,-69.29,0.768,0.1,0.0,
151,0,GRB110316139,n3,46.7,-67.58,2.944,1.0,222698.0,3454.654
163,0,GRB090819607,n7,49.08,-67.12,0.192,0.1,3103.0,23.242
184,0,GRB101011707,n8,48.3,-65.9,36.352,1.0,217223.0,3369.195
191,0,GRB170827818,n1,48.79,-65.38,0.832,0.1,1480.0,1.527
214,0,GRB211216282,n9,44.36,-64.35,20.224,1.0,185244.0,2870.037
239,0,GRB110521478,n2,57.54,-62.34,6.141,1.0,203607.0,3156.664
136,1,GRB130218261,na,69.31,-69.13,37.121,1.0,0.0,
144,0,GRB210126417,n1,70.68,-67.94,61.441,1.0,28625.0,185.441
173,0,GRB151003729,n4,60.34,-66.37,44.032,1.0,3661.0,14.507
198,0,GRB090924625,n9,69.73,-65.02,0.352,0.1,241362.0,1526.199
204,0,GRB190903722,n8,62.43,-64.86,0.272,0.1,239878.0,1531.795
227,0,GRB131105087,n7,71.01,-62.98,112.642,1.0,36239.0,237.576
234,0,GRB081204004,n1,63.3,-62.6,7.424,1.0,9145.0,52.057
258,0,GRB151231443,nb,65.63,-61.54,71.425,1.0,15452.0,95.243
273,0,GRB150514774,n3,74.85,-60.91,10.813,1.0,8413.0,47.045
292,0,GRB150827785,n0,68.3,-60.0,10.496,1.0,8787.0,49.606
137,1,GRB090213236,n6,330.6,-55.0,20.224,1.0,0.0,
326,0,GRB140330180,n0,328.07,-57.74,34.049,1.0,3607.0,23.738
336,0,GRB110319815,n5,325.57,-57.11,31.232,1.0,1376.0,3.935
340,0,GRB080916406,n8,336.3,-57.0,46.337,1.0,6216.0,46.896
341,0,GRB131028096,n8,333.4,-56.94,14.336,1.0,6571.0,50.047
388,0,GRB081109293,n2,330.8,-54.7,58.369,1.0,31020.0,267.059
404,0,GRB120117291,n2,339.01,-54.25,3.328,1.0,2984.0,18.208
427,0,GRB080804972,n7,328.7,-53.2,24.704,1.0,5327.0,39.005
551,0,GRB110125894,n0,331.35,-46.21,4.8,1.0,1959.0,9.11
138,1,GRB190422670,nb,189.23,-54.95,20.736,1.0,0.0,
154,0,GRB200714774,na,196.87,-51.64,20.736,1.0,21486.0,146.66
260,0,GRB180822562,n0,185.25,-61.49,152.003,1.0,18125.0,122.51
266,0,GRB211107848,n4,183.42,-61.22,8.384,1.0,1504.0,3.084
284,0,GRB190422957,n8,182.12,-60.24,213.252,1.0,51459.0,362.023
287,0,GRB080714745,n5,188.1,-60.2,59.649,1.0,7432.0,45.678
291,0,GRB160912350,n7,183.29,-60.04,32.705,1.0,3183.0,15.148
296,0,GRB190119249,n3,192.24,-59.82,34.304,1.0,2119.0,7.503
310,0,GRB130816074,n6,197.14,-58.95,36.864,1.0,10027.0,64.324
344,0,GRB111009282,n1,183.04,-56.82,20.736,1.0,13538.0,89.551
375,0,GRB120510900,nb,186.93,-55.24,62.465,1.0,2441.0,9.817
389,0,GRB210805002,n9,198.32,-54.48,0.832,0.1,243178.0,857.368
403,0,GRB171029020,n5,198.24,-54.25,19.712,1.0,6859.0,41.561
407,0,GRB200714344,n8,190.43,-53.95,0.96,0.1,251056.0,826.966
418,0,GRB110930564,n5,187.31,-53.66,37.889,1.0,2235.0,8.336
433,0,GRB120521380,na,197.02,-52.74,91.134,1.0,2772.0,12.195
538,0,GRB170115743,n1,189.12,-46.85,44.288,1.0,19025.0,128.977
139,1,GRB130420422,na,117.06,-69.03,27.328,1.0,0.0,
140,0,GRB081226044,n2,120.5,-69.0,0.832,0.1,204103.0,1108.633
188,0,GRB120426090,na,111.54,-65.63,2.688,1.0,18979.0,139.472
205,0,GRB190804058,n4,108.02,-64.86,4.224,1.0,2613.0,11.327
240,0,GRB191031780,n6,115.86,-62.34,77.825,1.0,3443.0,17.826
247,0,GRB160528276,n2,114.5,-62.11,7.168,1.0,2130.0,7.546
140,1,GRB081226044,n2,120.5,-69.0,0.832,0.1,0.0,
158,0,GRB180723133,n0,130.03,-67.15,3.072,1.0,167332.0,1923.857
171,0,GRB111107035,n8,129.48,-66.52,12.032,1.0,207502.0,2390.227
188,0,GRB120426090,na,111.54,-65.63,2.688,1.0,244985.0,2825.401
240,0,GRB191031780,n6,115.86,-62.34,77.825,1.0,215563.0,2483.815
247,0,GRB160528276,n2,114.5,-62.11,7.168,1.0,186148.0,2142.309
141,1,GRB171024977,n6,210.53,-68.91,35.072,1.0,0.0,
152,0,GRB191220589,n4,211.77,-67.51,27.905,1.0,22024.0,174.428
201,0,GRB110411629,n8,210.3,-64.99,23.552,1.0,15608.0,120.521
211,0,GRB091017985,n0,214.4,-64.74,44.8,1.0,1653.0,3.272
250,0,GRB170912273,n9,215.46,-62.0,13.568,1.0,17209.0,133.973
254,0,GRB170112970,n0,207.76,-61.77,7.36,1.0,1868.0,5.079
262,0,GRB140115863,n4,210.03,-61.41,14.909,1.0,4897.0,30.528
142,1,GRB090411838,n1,156.0,-68.9,21.501,1.0,0.0,
202,0,GRB210317381,n2,154.22,-64.94,46.337,1.0,4431.0,31.644
221,0,GRB150204272,n7,160.24,-64.04,11.008,1.0,2971.0,18.082
238,0,GRB121217313,n9,153.71,-62.35,828.672,1.0,384515.0,3562.263
248,0,GRB150802127,n5,151.53,-62.08,313.093,1.0,14358.0,123.856
249,0,GRB130406288,n9,157.78,-62.05,7.936,1.0,10917.0,91.892
265,0,GRB080719529,n6,153.2,-61.3,16.128,1.0,7749.0,62.465
143,1,GRB160716144,n9,189.61,-68.04,28.928,1.0,0.0,
167,0,GRB181128751,n6,182.82,-66.74,17.664,1.0,1813.0,4.988
260,0,GRB180822562,n0,185.25,-61.49,152.003,1.0,11945.0,81.235
266,0,GRB211107848,n4,183.42,-61.22,8.384,1.0,15741.0,109.801
287,0,GRB080714745,n5,188.1,-60.2,59.649,1.0,7453.0,47.431
296,0,GRB190119249,n3,192.24,-59.82,34.304,1.0,13806.0,95.24
144,1,GRB210126417,n1,70.68,-67.94,61.441,1.0,0.0,
198,0,GRB090924625,n9,69.73,-65.02,0.352,0.1,163335.0,1441.648
204,0,GRB190903722,n8,62.43,-64.86,0.272,0.1,162242.0,1444.99
227,0,GRB131105087,n7,71.01,-62.98,112.642,1.0,11729.0,63.075
234,0,GRB081204004,n1,63.3,-62.6,7.424,1.0,4950.0,20.007
258,0,GRB151231443,nb,65.63,-61.54,71.425,1.0,31289.0,187.344
273,0,GRB150514774,n3,74.85,-60.91,10.813,1.0,21262.0,123.64
290,0,GRB130617564,n2,74.73,-60.06,0.768,0.1,169177.0,1423.783
292,0,GRB150827785,n0,68.3,-60.0,10.496,1.0,8228.0,40.832
145,1,GRB211104765,n1,247.68,-52.34,39.681,1.0,0.0,
270,0,GRB210621447,na,248.31,-61.07,15.616,1.0,4491.0,20.223
337,0,GRB110801335,na,248.27,-57.06,0.384,0.1,225851.0,1444.441
348,0,GRB100825287,na,253.44,-56.57,3.328,1.0,8577.0,48.06
376,0,GRB130228212,na,240.75,-55.21,15.677,1.0,8911.0,50.335
406,0,GRB180728728,n6,253.57,-54.03,6.4,1.0,62547.0,415.742
414,0,GRB150913161,n6,241.05,-53.79,20.992,1.0,5360.0,26.143
452,0,GRB160909061,n9,242.68,-51.16,18.432,1.0,1975.0,3.082
478,0,GRB121205507,n0,238.59,-49.71,2.816,1.0,1948.0,2.898
500,0,GRB100424729,n8,246.72,-48.85,175.363,1.0,11006.0,64.608
503,0,GRB150301045,n4,244.29,-48.7,0.416,0.1,228949.0,1434.018
507,0,GRB200207058,n4,244.09,-48.3,15.616,1.0,4246.0,18.554
508,0,GRB130919985,n5,242.22,-48.29,17.408,1.0,16301.0,100.681
520,0,GRB080815917,na,240.9,-47.8,0.832,0.1,236743.0,1407.795
528,0,GRB120801920,n4,245.73,-47.37,479.239,1.0,249909.0,1692.186
568,0,GRB210801581,na,252.73,-45.8,13.824,1.0,52049.0,344.222
576,0,GRB220120619,n4,249.74,-45.55,1.28,0.1,235851.0,1410.796
586,0,GRB211109113,n6,252.76,-45.12,285.701,1.0,46700.0,307.781
603,0,GRB180201706,n0,251.32,-43.47,0.192,0.1,227739.0,1438.089
146,1,GRB200411187,n5,47.66,-52.32,1.44,0.1,0.0,
159,0,GRB210925056,na,47.99,-51.41,4.544,1.0,200050.0,2151.894
315,0,GRB120210650,n0,54.65,-58.52,1.344,0.1,3720.0,26.191
319,0,GRB160422499,n1,41.26,-58.22,12.288,1.0,239301.0,2577.511
339,0,GRB150702998,n4,52.78,-57.0,45.825,1.0,189846.0,2041.248
358,0,GRB140928437,na,43.7,-55.93,17.92,1.0,193253.0,2078.191
439,0,GRB150508945,n3,45.93,-52.45,113.92,1.0,221859.0,2388.38
443,0,GRB120420249,n2,47.89,-52.19,25.6,1.0,216244.0,2327.494
472,0,GRB180404091,n3,53.4,-50.22,80.897,1.0,249049.0,2683.214
513,0,GRB180605458,n1,47.51,-48.02,24.064,1.0,232164.0,2500.122
515,0,GRB100204024,n9,50.78,-47.89,49.665,1.0,210101.0,2260.882
516,0,GRB180611145,n1,51.61,-47.86,8.96,1.0,193117.0,2076.717
530,0,GRB190324947,n6,49.58,-47.24,26.881,1.0,218123.0,2347.868
531,0,GRB161119633,n9,47.19,-47.21,77.824,1.0,232219.0,2500.718
147,1,GRB090719063,n8,341.27,-67.86,11.392,1.0,0.0,
165,0,GRB131118958,n2,349.86,-66.83,85.249,1.0,30963.0,196.417
166,0,GRB170323775,n9,348.83,-66.81,35.328,1.0,45789.0,293.925
178,0,GRB150628767,n7,347.02,-66.18,0.64,0.1,258918.0,257.653
223,0,GRB170127067,n4,339.33,-63.94,0.128,0.1,245205.0,302.587
226,0,GRB180727594,n9,346.66,-63.05,0.896,0.1,257749.0,261.484
259,0,GRB171025913,n9,338.24,-61.52,7.936,1.0,32218.0,204.671
304,0,GRB200219317,n3,342.64,-59.12,1.152,0.1,261189.0,250.212
325,0,GRB150821406,n9,341.91,-57.89,103.426,1.0,40325.0,257.989
148,1,GRB180906759,n6,270.12,-67.67,13.309,1.0,0.0,
149,0,GRB100605774,n6,273.43,-67.6,8.192,1.0,2746.0,15.804
179,0,GRB220124074,n0,274.51,-66.17,53.76,1.0,7165.0,52.63
193,0,GRB201217108,n4,273.28,-65.13,37.121,1.0,3237.0,19.895
208,0,GRB170126480,n9,263.63,-64.76,13.824,1.0,8062.0,60.105
213,0,GRB101213849,n3,260.99,-64.51,5.12,1.0,1710.0,7.17
219,0,GRB140612294,n7,267.38,-64.11,38.913,1.0,3101.0,18.762
241,0,GRB111003465,n3,276.76,-62.32,16.64,1.0,4749.0,32.496
300,0,GRB120909070,n8,275.74,-59.45,112.066,1.0,23187.0,186.152
324,0,GRB090510325,nb,269.4,-57.9,7.424,1.0,4925.0,33.963
149,1,GRB100605774,n6,273.43,-67.6,8.192,1.0,0.0,
179,0,GRB220124074,n0,274.51,-66.17,53.76,1.0,4838.0,34.615
193,0,GRB201217108,n4,273.28,-65.13,37.121,1.0,3102.0,19.938
219,0,GRB140612294,n7,267.38,-64.11,38.913,1.0,1737.0,8.398
241,0,GRB111003465,n3,276.76,-62.32,16.64,1.0,10035.0,78.552
300,0,GRB120909070,n8,275.74,-59.45,112.066,1.0,23866.0,195.484
150,1,GRB201229639,n0,340.36,-52.04,77.826,1.0,0.0,
180,0,GRB210524208,n9,337.32,-47.05,20.992,1.0,11929.0,60.167
196,0,GRB210822273,nb,343.45,-46.3,18.624,1.0,9031.0,41.93
259,0,GRB171025913,n9,338.24,-61.52,7.936,1.0,12464.0,63.533
304,0,GRB200219317,n3,342.64,-59.12,1.152,0.1,187128.0,1894.964
325,0,GRB150821406,n9,341.91,-57.89,103.426,1.0,10581.0,51.684
340,0,GRB080916406,n8,336.3,-57.0,46.337,1.0,7455.0,32.013
341,0,GRB131028096,n8,333.4,-56.94,14.336,1.0,15230.0,80.939
342,0,GRB210123305,n2,345.12,-56.93,13.056,1.0,11712.0,58.801
357,0,GRB190726843,n8,342.68,-55.98,224.26,1.0,21986.0,123.453
388,0,GRB081109293,n2,330.8,-54.7,58.369,1.0,41755.0,247.854
404,0,GRB120117291,n2,339.01,-54.25,3.328,1.0,13002.0,66.919
425,0,GRB200623752,n9,343.08,-53.38,0.704,0.1,181700.0,1911.7
490,0,GRB201128746,n8,339.35,-49.25,11.264,1.0,12716.0,65.119
542,0,GRB120203812,n5,339.3,-46.59,10.24,1.0,6681.0,27.142
566,0,GRB110817191,n9,336.04,-45.84,5.949,1.0,31804.0,185.235
584,0,GRB170424425,n1,343.53,-45.2,53.249,1.0,13519.0,70.172
587,0,GRB200129409,n2,346.28,-44.97,0.112,0.1,181719.0,1911.641
151,1,GRB110316139,n3,46.7,-67.58,2.944,1.0,0.0,
163,0,GRB090819607,n7,49.08,-67.12,0.192,0.1,211352.0,169.844
184,0,GRB101011707,n8,48.3,-65.9,36.352,1.0,1929.0,15.467
191,0,GRB170827818,n1,48.79,-65.38,0.832,0.1,222737.0,103.12
214,0,GRB211216282,n9,44.36,-64.35,20.224,1.0,5469.0,55.701
225,0,GRB130523198,n6,39.49,-63.07,5.376,1.0,4123.0,40.403
243,0,GRB180625941,n4,39.13,-62.31,0.704,0.1,219322.0,123.134
152,1,GRB191220589,n4,211.77,-67.51,27.905,1.0,0.0,
201,0,GRB110411629,n8,210.3,-64.99,23.552,1.0,3982.0,16.442
211,0,GRB091017985,n0,214.4,-64.74,44.8,1.0,21162.0,125.873
250,0,GRB170912273,n9,215.46,-62.0,13.568,1.0,3166.0,11.244
252,0,GRB170727841,n9,218.85,-61.84,19.2,1.0,9682.0,52.749
254,0,GRB170112970,n0,207.76,-61.77,7.36,1.0,12164.0,68.558
262,0,GRB140115863,n4,210.03,-61.41,14.909,1.0,6534.0,32.697
153,1,GRB081006604,n6,142.0,-67.4,6.4,1.0,0.0,
209,0,GRB090711850,n0,139.61,-64.74,51.969,1.0,3715.0,35.804
264,0,GRB120119229,n0,139.65,-61.33,41.728,1.0,2443.0,21.018
321,0,GRB130206817,n6,140.37,-58.16,91.585,1.0,6515.0,68.353
154,1,GRB200714774,na,196.87,-51.64,20.736,1.0,0.0,
242,0,GRB200803703,n4,198.5,-42.5,54.784,1.0,27335.0,179.446
275,0,GRB091231206,n3,199.36,-60.7,42.561,1.0,16286.0,103.325
296,0,GRB190119249,n3,192.24,-59.82,34.304,1.0,25931.0,169.773
310,0,GRB130816074,n6,197.14,-58.95,36.864,1.0,36871.0,245.144
362,0,GRB160829334,n6,200.89,-55.88,0.512,0.1,311625.0,932.308
381,0,GRB090720710,n1,203.0,-54.8,10.752,1.0,19082.0,122.588
389,0,GRB210805002,n9,198.32,-54.48,0.832,0.1,318424.0,908.933
403,0,GRB171029020,n5,198.24,-54.25,19.712,1.0,11644.0,71.344
407,0,GRB200714344,n8,190.43,-53.95,0.96,0.1,326622.0,880.748
418,0,GRB110930564,n5,187.31,-53.66,37.889,1.0,28690.0,188.781
433,0,GRB120521380,na,197.02,-52.74,91.134,1.0,37649.0,250.504
479,0,GRB200311636,n8,203.99,-49.68,52.481,1.0,6364.0,34.968
534,0,GRB170906030,n4,203.96,-47.1,78.849,1.0,15375.0,97.049
536,0,GRB090706283,n0,205.07,-47.07,57.857,1.0,56484.0,380.266
538,0,GRB170115743,n1,189.12,-46.85,44.288,1.0,12213.0,75.264
541,0,GRB130403866,n8,199.9,-46.68,22.784,1.0,34416.0,228.23
585,0,GRB200619492,n7,200.4,-45.13,50.432,1.0,24354.0,158.909
594,0,GRB110720177,n5,198.65,-44.29,11.2,1.0,20351.0,131.331
608,0,GRB111103948,n5,201.58,-43.16,0.32,0.1,292154.0,999.249
156,1,GRB090524346,n3,329.5,-67.4,54.337,1.0,0.0,
183,0,GRB200130248,n6,329.29,-65.93,56.577,1.0,12379.0,48.233
189,0,GRB130727698,nb,330.8,-65.54,12.992,1.0,8083.0,28.166
326,0,GRB140330180,n0,328.07,-57.74,34.049,1.0,16606.0,67.977
157,1,GRB150404733,n8,165.91,-67.37,4.864,1.0,0.0,
210,0,GRB180113418,n1,174.63,-64.74,24.576,1.0,57354.0,592.982
221,0,GRB150204272,n7,160.24,-64.04,11.008,1.0,2289.0,17.453
233,0,GRB140422194,na,164.54,-62.62,361.472,1.0,30421.0,311.483
249,0,GRB130406288,n9,157.78,-62.05,7.936,1.0,8253.0,79.787
271,0,GRB081006872,n6,172.2,-61.0,3.328,1.0,1096.0,4.984
320,0,GRB090117640,n1,164.0,-58.2,15.552,1.0,2208.0,16.606
158,1,GRB180723133,n0,130.03,-67.15,3.072,1.0,0.0,
171,0,GRB111107035,n8,129.48,-66.52,12.032,1.0,4220.0,39.637
209,0,GRB090711850,n0,139.61,-64.74,51.969,1.0,6887.0,68.244
269,0,GRB120304061,n7,127.15,-61.12,9.984,1.0,11391.0,116.556
282,0,GRB130730243,n6,133.75,-60.36,27.904,1.0,2708.0,23.418
303,0,GRB141031304,n1,128.61,-59.17,19.456,1.0,1274.0,8.037
159,1,GRB210925056,na,47.99,-51.41,4.544,1.0,0.0,
315,0,GRB120210650,n0,54.65,-58.52,1.344,0.1,204356.0,116.279
319,0,GRB160422499,n1,41.26,-58.22,12.288,1.0,31748.0,328.932
339,0,GRB150702998,n4,52.78,-57.0,45.825,1.0,5569.0,51.975
358,0,GRB140928437,na,43.7,-55.93,17.92,1.0,5079.0,46.791
439,0,GRB150508945,n3,45.93,-52.45,113.92,1.0,7469.0,72.076
443,0,GRB120420249,n2,47.89,-52.19,25.6,1.0,4515.0,40.824
472,0,GRB180404091,n3,53.4,-50.22,80.897,1.0,9582.0,94.43
513,0,GRB180605458,n1,47.51,-48.02,24.064,1.0,6566.0,62.522
515,0,GRB100204024,n9,50.78,-47.89,49.665,1.0,6023.0,56.778
516,0,GRB180611145,n1,51.61,-47.86,8.96,1.0,3056.0,25.389
530,0,GRB190324947,n6,49.58,-47.24,26.881,1.0,5217.0,48.251
531,0,GRB161119633,n9,47.19,-47.21,77.824,1.0,8674.0,84.824
160,1,GRB210807955,n3,143.55,-51.41,125.442,1.0,0.0,
161,0,GRB200130417,n0,137.53,-51.34,11.293,1.0,28992.0,84.781
321,0,GRB130206817,n6,140.37,-58.16,91.585,1.0,98537.0,324.268
365,0,GRB190720964,n3,138.87,-55.59,10.496,1.0,21582.0,59.263
390,0,GRB120728934,n4,137.1,-54.44,32.768,1.0,57361.0,182.473
405,0,GRB110227009,n8,148.72,-54.04,1.728,0.1,330942.0,3149.899
466,0,GRB210201567,n8,144.98,-50.67,39.68,1.0,44124.0,136.89
471,0,GRB140608153,n9,151.22,-50.26,71.681,1.0,35345.0,106.658
488,0,GRB101227536,n7,150.87,-49.44,28.864,1.0,29519.0,86.595
537,0,GRB171119992,n2,135.51,-46.99,26.369,1.0,13554.0,31.618
544,0,GRB090630311,n2,146.55,-46.58,2.88,1.0,27014.0,77.969
622,0,GRB130404840,n6,146.58,-42.16,34.561,1.0,32050.0,95.311
161,1,GRB200130417,n0,137.53,-51.34,11.293,1.0,0.0,
282,0,GRB130730243,n6,133.75,-60.36,27.904,1.0,12118.0,78.327
321,0,GRB130206817,n6,140.37,-58.16,91.585,1.0,16556.0,109.343
365,0,GRB190720964,n3,138.87,-55.59,10.496,1.0,10772.0,68.92
390,0,GRB120728934,n4,137.1,-54.44,32.768,1.0,11207.0,71.96
466,0,GRB210201567,n8,144.98,-50.67,39.68,1.0,13090.0,85.12
537,0,GRB171119992,n2,135.51,-46.99,26.369,1.0,15497.0,101.942
543,0,GRB170629537,n0,130.02,-46.59,28.16,1.0,9373.0,59.143
634,0,GRB200412290,na,140.01,-41.67,12.606,1.0,10480.0,66.879
162,1,GRB100719311,n1,304.87,-67.14,1.6,0.1,0.0,
181,0,GRB120919816,n7,303.53,-66.16,20.48,1.0,232935.0,2489.123
187,0,GRB160303971,n6,302.2,-65.68,27.136,1.0,175495.0,1870.814
232,0,GRB150403913,n3,311.5,-62.71,22.272,1.0,216959.0,2317.15
235,0,GRB080905705,nb,301.7,-62.6,105.984,1.0,290753.0,3111.5
301,0,GRB100225115,n3,310.3,-59.4,12.992,1.0,231984.0,2478.886
163,1,GRB090819607,n7,49.08,-67.12,0.192,0.1,0.0,
184,0,GRB101011707,n8,48.3,-65.9,36.352,1.0,206153.0,2340.983
191,0,GRB170827818,n1,48.79,-65.38,0.832,0.1,2647.0,13.317
214,0,GRB211216282,n9,44.36,-64.35,20.224,1.0,175164.0,1986.512
239,0,GRB110521478,n2,57.54,-62.34,6.141,1.0,192903.0,2189.421
164,1,GRB180703876,n7,6.54,-67.1,20.736,1.0,0.0,
182,0,GRB180723757,n8,7.84,-66.11,19.712,1.0,14878.0,116.229
186,0,GRB090625560,n8,2.26,-65.78,13.056,1.0,5816.0,40.042
216,0,GRB181128129,n3,10.27,-64.3,1.728,0.1,194777.0,653.386
256,0,GRB150228981,n6,7.55,-61.73,36.609,1.0,5921.0,40.925
293,0,GRB180505540,n8,4.51,-59.89,21.76,1.0,23370.0,187.623
165,1,GRB131118958,n2,349.86,-66.83,85.249,1.0,0.0,
166,0,GRB170323775,n9,348.83,-66.81,35.328,1.0,47893.0,196.593
